"CT County Subdivisions,Year",Town,"Owner occupied, Percent","Owner occupied, Number","Occupied housing units, Number","Renter occupied, Percent","Renter occupied, Number"
"0901301080,2006-10",Andover,89.66,1144,1276,10.34,132
"0900901220,2006-10",Ansonia,60.48,4610,7622,39.52,3012
"0901501430,2006-10",Ashford,80.01,1349,1686,19.99,337
"0900302060,2006-10",Avon,82.2,5578,6786,17.8,1208
"0900502760,2006-10",Barkhamsted,88.56,1246,1407,11.44,161
"0900903250,2006-10",Beacon Falls,82.18,1872,2278,17.82,406
"0900304300,2006-10",Berlin,89.5,6683,7467,10.5,784
"0900904580,2006-10",Bethany,95.07,1795,1888,4.93,93
"0900104720,2006-10",Bethel,78.77,5191,6590,21.23,1399
"0900504930,2006-10",Bethlehem,86.73,1288,1485,13.27,197
"0900305910,2006-10",Bloomfield,74.99,6521,8696,25.01,2175
"0901306260,2006-10",Bolton,82.44,1699,2061,17.56,362
"0901106820,2006-10",Bozrah,83.52,917,1098,16.48,181
"0900907310,2006-10",Branford,71.79,8700,12119,28.21,3419
"0900108070,2006-10",Bridgeport,45.24,23654,52281,54.76,28627
"0900508210,2006-10",Bridgewater,88.28,648,734,11.72,86
"0900308490,2006-10",Bristol,66.38,16572,24966,33.62,8394
"0900108980,2006-10",Brookfield,88.45,5191,5869,11.55,678
"0901509190,2006-10",Brooklyn,76.6,2033,2654,23.4,621
"0900310100,2006-10",Burlington,94.69,3014,3183,5.31,169
"0900510940,2006-10",Canaan,66.15,383,579,33.85,196
"0901512130,2006-10",Canterbury,87.43,1718,1965,12.57,247
"0900312270,2006-10",Canton,81.68,3268,4001,18.32,733
"0901513810,2006-10",Chaplin,79.4,740,932,20.6,192
"0900914160,2006-10",Cheshire,85.21,7851,9214,14.79,1363
"0900714300,2006-10",Chester,71.23,1154,1620,28.77,466
"0900715350,2006-10",Clinton,82.11,4462,5434,17.89,972
"0901115910,2006-10",Colchester,83.88,4895,5836,16.12,941
"0900516050,2006-10",Colebrook,92.96,515,554,7.04,39
"0901316400,2006-10",Columbia,95.97,2024,2109,4.03,85
"09,2006-10",Connecticut,69.16,939984,1359218,30.84,419234
"0900517240,2006-10",Cornwall,78.17,530,678,21.83,148
"0901317800,2006-10",Coventry,88.08,4199,4767,11.92,568
"0900718080,2006-10",Cromwell,80.51,4387,5449,19.49,1062
"0900118500,2006-10",Danbury,62.75,18544,29552,37.25,11008
"0900118850,2006-10",Darien,87.86,5898,6713,12.14,815
"0900719130,2006-10",Deep River,77.02,1458,1893,22.98,435
"0900919550,2006-10",Derby,58.58,2914,4974,41.42,2060
"0900720810,2006-10",Durham,94.65,2423,2560,5.35,137
"0900322070,2006-10",East Granby,83.34,1671,2005,16.66,334
"0900722280,2006-10",East Haddam,85.83,3090,3600,14.17,510
"0900722490,2006-10",East Hampton,89.1,4015,4506,10.9,491
"0900322630,2006-10",East Hartford,57.71,11657,20201,42.29,8544
"0900922910,2006-10",East Haven,77.01,8861,11506,22.99,2645
"0901123400,2006-10",East Lyme,83.4,5873,7042,16.6,1169
"0900324800,2006-10",East Windsor,68.3,3034,4442,31.7,1408
"0901521860,2006-10",Eastford,91.25,584,640,8.75,56
"0900123890,2006-10",Easton,97.7,2382,2438,2.3,56
"0901325360,2006-10",Ellington,68.43,4078,5959,31.57,1881
"0900325990,2006-10",Enfield,77.05,12633,16396,22.95,3763
"0900726270,2006-10",Essex,79.62,2391,3003,20.38,612
"0900126620,2006-10",Fairfield,85.37,16409,19220,14.63,2811
"0900327600,2006-10",Farmington,77.46,8020,10354,22.54,2334
"0901129910,2006-10",Franklin,87.35,663,759,12.65,96
"0900331240,2006-10",Glastonbury,84.66,10905,12881,15.34,1976
"0900532290,2006-10",Goshen,89.53,1095,1223,10.47,128
"0900332640,2006-10",Granby,90.51,3881,4288,9.49,407
"0900133620,2006-10",Greenwich,73.11,16438,22483,26.89,6045
"0901133900,2006-10",Griswold,73.74,3614,4901,26.26,1287
"0901134250,2006-10",Groton,51.84,8271,15955,48.16,7684
"0900934950,2006-10",Guilford,87.85,7701,8766,12.15,1065
"0900735230,2006-10",Haddam,90.59,2752,3038,9.41,286
"0900935650,2006-10",Hamden,67.93,16371,24099,32.07,7728
"0901536000,2006-10",Hampton,91.41,670,733,8.59,63
"0900337070,2006-10",Hartford,25.81,11890,46073,74.19,34183
"0900337140,2006-10",Hartland,92.84,674,726,7.16,52
"0900537280,2006-10",Harwinton,96.71,2028,2097,3.29,69
"0901337910,2006-10",Hebron,93.71,3070,3276,6.29,206
"0900540290,2006-10",Kent,72.75,945,1299,27.25,354
"0901540500,2006-10",Killingly,69.28,4751,6858,30.72,2107
"0900740710,2006-10",Killingworth,97.82,2377,2430,2.18,53
"0901142390,2006-10",Lebanon,87.04,2438,2801,12.96,363
"0901142600,2006-10",Ledyard,84.46,4716,5584,15.54,868
"0901143230,2006-10",Lisbon,91.85,1488,1620,8.15,132
"0900543370,2006-10",Litchfield,79.6,2797,3514,20.4,717
"0901144210,2006-10",Lyme,87.37,865,990,12.63,125
"0900944560,2006-10",Madison,89.17,5960,6684,10.83,724
"0900344700,2006-10",Manchester,60.5,14768,24411,39.5,9643
"0901344910,2006-10",Mansfield,66.56,3920,5889,33.44,1969
"0900345820,2006-10",Marlborough,93.26,1994,2138,6.74,144
"0900946520,2006-10",Meriden,63.81,15225,23861,36.19,8636
"0900946940,2006-10",Middlebury,90.36,2409,2666,9.64,257
"0900747080,2006-10",Middlefield,86.63,1452,1676,13.37,224
"0900747360,2006-10",Middletown,57.11,11785,20637,42.89,8852
"0900947535,2006-10",Milford,77.03,16402,21294,22.97,4892
"0900148620,2006-10",Monroe,92.03,6059,6584,7.97,525
"0901148900,2006-10",Montville,77.9,5265,6759,22.1,1494
"0900549460,2006-10",Morris,85.25,838,983,14.75,145
